FILE_000000002444363,붙임1. 군사교육 제외 학사일정(2021년 3사관학교).csv
FILE_000000002445234,서울특별시_용산구_통신판매업 명단_20210915.csv
FILE_000000002441689,인천광역시 부평구_우유류 판매업_20210917.csv
FILE_000000002433901,부산광역시서구_공공와이파이_20210908.csv
FILE_000000002446847,서울특별시_용산구_부동산중개업소현황_20210928.csv
FILE_000000002432708,인천광역시 남동구_안전관리자문단 운영현황_20210907.csv
FILE_000000002444764,관서별 해상응급환자 발생 및 이송현황.csv
FILE_000000002448920,대전광역시_특별사법경찰 지명현황_20210101.csv
FILE_000000002436080,메이크올 메이커 이야기 정보.csv
FILE_000000002320811,제주특별자치도_전세버스업_권역별_일자리_미스매치_빅데이터_분석정보_20151231.zip
FILE_000000002434020,제주특별자치도_보조금집행현황_20210102.csv
FILE_000000002432687,15. 법무부_(형통)메타시스템 우편번호관리.csv
FILE_000000002436804,(112)경찰청 충청북도경찰청_영동읍 및 양강면 112신고접수 현황_20201231.csv
FILE_000000002437174,충청남도 보령시 특산물정보_20210913.csv
FILE_000000002443344,교통정보 분실물통계.csv
FILE_000000002430236,서울특별시_동작구_노량진야외체육시설.csv
FILE_000000002440823,국가평생교육진흥원_학점은행제정보시스템_기관 위반사항별 벌점 코드.csv
FILE_000000002444541,서울특별시_용산구_장애인등록현황_20210915.csv
FILE_000000002445682,대전광역시_특수사고대응계획_20210101.csv
FILE_000000002442697,서울특별시_용산구_축산물판매업현황_20210915.csv
FILE_000000002442847,사옥 및 사택 조경수목관리현황.csv
FILE_000000002432896,인천광역시 남동구_정책실명제 중점관리대상사업 현황_20210907.csv
FILE_000000002436229,공사채권 기관별 무담보 채무조정 현황.csv
FILE_000000002449057,서울특별시_용산구_법정동별세대수_20210930.csv
FILE_000000002446088,강원도_횡성군_상수도요금현황.csv
FILE_000000002448063,인천광역시_서구_자동차 등록현황_20210901.csv
FILE_000000002433648,공군사관학교+종교활동+통계.csv
FILE_000000002429618,복지사업 시도별 급여지급 현황(2020년 12월).csv
FILE_000000002437550,인천광역시 미추홀구_수제화 업체_20210914.csv
FILE_000000002445835,방사선발생장치연도별국가별수입현황.csv
FILE_000000002434635,2020년도 공공기관 녹색제품 구매실적 현황.csv
